"nodeid","x","y","z","nodeuid"
1,3.60,2.50,0,"c321"
2,3.00,2.50,0,"c23a"
3,2.40,2.50,0,"cf17"
4,1.80,2.50,0,"bd11"
5,1.20,2.50,0,"b6bc"
6,3.60,2.50,.60,"ccaa"
7,3.00,2.50,.60,"b154"
8,2.40,2.50,.60,"b27b"
9,1.80,2.50,.60,"bc2d"
10,1.20,2.50,.60,"bcb6"
11,3.60,2.50,1.20,"c3c4"
12,3.00,2.50,1.20,"c8a8"
13,2.40,2.50,1.20,"c15b"
14,1.80,2.50,1.20,"b034"
15,1.20,2.50,1.20,"b471"
16,3.60,2.50,1.80,"bbf0"
17,3.00,2.50,1.80,"b986"
18,2.40,2.50,1.80,"be29"
19,1.80,2.50,1.80,"c102"
20,1.20,2.50,1.80,"b0b4"
21,3.60,2.50,2.40,"afc7"
22,3.00,2.50,2.40,"bc13"
23,2.40,2.50,2.40,"b2bb"
24,1.80,2.50,2.40,"c6df"
25,1.20,2.50,2.40,"c4c8"
26,3.60,2.50,3.00,"c26d"
27,3.00,2.50,3.00,"b966"
28,2.40,2.50,3.00,"cbf3"
29,1.80,2.50,3.00,"b538"
30,1.20,2.50,3.00,"c946"
31,3.60,2.50,3.60,"c469"
32,3.00,2.50,3.60,"cafe"
33,2.40,2.50,3.60,"c6dc"
34,1.80,2.50,3.60,"afad"
35,1.20,2.50,3.60,"b54f"
36,3.60,2.50,4.20,"c92c"
37,3.00,2.50,4.20,"b468"
38,2.40,2.50,4.20,"c2b6"
39,1.80,2.50,4.20,"c69d"
40,1.20,2.50,4.20,"c0e8"
41,3.60,2.50,4.80,"cdec"
42,3.00,2.50,4.80,"c721"
43,2.40,2.50,4.80,"c7f0"
44,1.80,2.50,4.80,"c8f3"
45,1.20,2.50,4.80,"ce61"
46,3.60,2.50,5.40,"b2bf"
47,3.00,2.50,5.40,"bd2d"
48,2.40,2.50,5.40,"be4d"
49,1.80,2.50,5.40,"b843"
50,1.20,2.50,5.40,"ba95"
51,3.60,2.50,6.00,"ba46"
52,3.00,2.50,6.00,"be4b"
53,2.40,2.50,6.00,"b95f"
54,1.80,2.50,6.00,"1ce4"
55,1.20,2.50,6.00,"c87e"
56,3.60,2.50,6.60,
57,3.00,2.50,6.60,"c4c2"
58,2.40,2.50,6.60,"cbe9"
59,1.80,2.50,6.60,"c5c8"
60,1.20,2.50,6.60,"c3d6"
61,3.60,2.50,7.20,"c088"
62,3.00,2.50,7.20,"c11c"
63,2.40,2.50,7.20,"c11e"
64,1.80,2.50,7.20,
65,1.20,2.50,7.20,"bc63"
66,3.60,2.50,7.80,"c8ad"
67,3.00,2.50,7.80,"c286"
68,2.40,2.50,7.80,"bc48"
69,1.80,2.50,7.80,"ced3"
70,1.20,2.50,7.80,
71,3.60,2.50,8.40,"c689"
72,3.00,2.50,8.40,"c0dc"
